"Éves településstatisztikai adatok 2020-as településszerkezetben"
"Magyarország települései"

"(2020. év)"

" ";"Mutatók";
"Terület";"A település területe (km2)";"Lakónépesség száma az év közepén (a népszámlálás végleges adataiból továbbszámított adat) (fõ)";"Lakónépességbõl a 15-64 évesek száma az év végén (fõ)";"Nyilvántartott álláskeresõk száma összesen (fõ)";"180 napon túli nyilvántartott álláskeresõk száma összesen (fõ)";"Egy éven túl nyilvántartott álláskeresõk száma összesen (fõ)";"Közfoglalkoztatottak száma (fõ)";
"Székesfehérvári járás";"1042,05";"150539,0";"97910,0";"2662";"1141";"535";"196";
"Aba";"88,05";"4427,5";"3062,0";"74";"36";"15";"13";
"Bakonykúti";"12,45";"160,0";"106,0";"3";"2";"1";" ";
"Csór";"41,49";"1850,5";"1246,0";"32";"14";"9";"6";
"Csõsz";"17,11";"967,5";"673,0";"23";"10";"5";"8";
"Füle";"30,32";"852,0";"556,0";"23";"11";"8";"5";
"Iszkaszentgyörgy";"26,27";"2154,0";"1452,0";"35";"15";"10";"3";
"Jenõ";"5,56";"1280,5";"915,0";"24";"9";"2";" ";
"Káloz";"47,79";"2291,0";"1515,0";"53";"26";"16";"11";
"Kõszárhegy";"5,90";"1519,5";"1051,0";"36";"14";"5";"3";
"Lovasberény";"60,62";"2643,0";"1780,0";"58";"30";"16";"7";
"Moha";"9,88";"594,5";"412,0";"11";"2";"2";" ";
"Nádasdladány";"26,35";"1731,5";"1213,0";"51";"21";"8";"11";
"Pátka";"40,38";"1778,5";"1183,0";"42";"29";"14";"22";
"Polgárdi";"72,16";"6890,0";"4684,0";"112";"46";"20";"13";
"Sárkeresztes";"23,27";"1486,5";"976,0";"23";"10";"2";"6";
"Sárkeszi";"14,79";"603,5";"430,0";"10";"3";" ";"3";
"Sárosd";"48,12";"3249,0";"2181,0";"62";"25";"11";"17";
"Sárszentmihály";"37,40";"2968,0";"2001,0";"46";"23";"10";"10";
"Seregélyes";"78,19";"4254,5";"2967,0";"73";"24";"7";"17";
